https://www.trulia.com/p/ca/san-diego/3936-alabama-st-5-san-diego-ca-92104--2079711740,3936 Alabama St #5,San Diego,CA,92104,North Park,32.749239725704,-117.14272092966,2bd,2ba,872,condo,,Built in 1981,06/03/2016,Sold,$316K,,,,
https://www.trulia.com/p/ca/san-diego/3936-alabama-st-5-san-diego-ca-92104--2079711740,3936 Alabama St #5,San Diego,CA,92104,North Park,32.749239725704,-117.14272092966,2bd,2ba,872,condo,,Built in 1981,10/30/2009,Sold,$205K,,,,
https://www.trulia.com/p/ca/san-diego/3450-fir-st-san-diego-ca-92104--2079707532,3450 Fir St,San Diego,CA,92104,North Park,32.725588009519,-117.11866049496,3bd,1ba,1223,single-family home,8803 sqft,Built in 1956,07/21/2015,Sold,$674K,,,,1
https://www.trulia.com/p/ca/san-diego/3450-fir-st-san-diego-ca-92104--2079707532,3450 Fir St,San Diego,CA,92104,North Park,32.725588009519,-117.11866049496,3bd,1ba,1223,single-family home,8803 sqft,Built in 1956,03/23/2007,Sold,$560K,,,,1
https://www.trulia.com/p/ca/san-diego/3450-fir-st-san-diego-ca-92104--2079707532,3450 Fir St,San Diego,CA,92104,North Park,32.725588009519,-117.11866049496,3bd,1ba,1223,single-family home,8803 sqft,Built in 1956,02/29/2000,Sold,$260K,,,,1
https://www.trulia.com/p/ca/san-diego/4086-swift-ave-san-diego-ca-92104--1042388456,4086 Swift Ave,San Diego,CA,92104,Corridor,32.751330375517,-117.1196222015,,,6760,multi-family,6757 sqft,Built in 1984,04/04/2002,Sold,$725K,,,,
https://www.trulia.com/p/ca/san-diego/4086-swift-ave-san-diego-ca-92104--1042388456,4086 Swift Ave,San Diego,CA,92104,Corridor,32.751330375517,-117.1196222015,,,6760,multi-family,6757 sqft,Built in 1984,06/04/1997,Sold,$312K,,,,
https://www.trulia.com/p/ca/san-diego/4086-swift-ave-san-diego-ca-92104--1042388456,4086 Swift Ave,San Diego,CA,92104,Corridor,32.751330375517,-117.1196222015,,,6760,multi-family,6757 sqft,Built in 1984,07/15/1996,Sold,$279K,,,,
https://www.trulia.com/p/ca/san-diego/2621-covington-rd-san-diego-ca-92104--1013338585,2621 Covington Rd,San Diego,CA,92104,North Park,32.732113522612,-117.11917481265,4bd,2ba,1832,single-family home,7500 sqft,Built in 1965,05/02/2008,Sold,$456K,,,,
https://www.trulia.com/p/ca/san-diego/2621-covington-rd-san-diego-ca-92104--1013338585,2621 Covington Rd,San Diego,CA,92104,North Park,32.732113522612,-117.11917481265,4bd,2ba,1832,single-family home,7500 sqft,Built in 1965,07/06/2007,Sold,$638K,,,,
